id	signatuur	aantal_teksten	datering
TDRA000000005860	VERSHBOW (Boston) : 77-49-22	1	1460/1475
TDRA000000002699	'S-GRAVENHAGE, KB : 71 H 65	5	14??
TDRA000000014951	KRAKOW, MN : Czart. 2421	1	
TDRA000000015497	ANTWERPEN, OLVC : 451	1	
TDRA000000014762	HAMBURG, SUB : Scrin. 201	1	
TDRA000000010262	VENETIE, BC : V, 4	1	1500/1525
TDRA000000002666	'S-GRAVENHAGE, KB : 135 K 45	1	1430/1450
TDRA000000012461	Olim ARENBERG : 78	1	1420
TDRA000000004565	OXFORD, KC : 46	1	1450/1475
TDRA000000002882	BERLIJN, SBB-PK : Germ. Fol. 76	1	14??
TDRA000000001353	LEIDEN, UB : LTK 324	47	1500
TDRA000000008411	OXFORD, BL : Douce 381 (170-3)	1	
TDRA000000007736	DOWAAI, BM : 1175	20	1450/1500
TDRA000000004559	OXFORD, KC : 7	1	
TDRA000000007737	KERVIJN DE MEERENDREE (Gent) : z.s.	9	
TDRA000000001346	LEIDEN, UB : LTK 317	58	1500
TDRA000000003223	'S-GRAVENHAGE, KB : 133 G 26	1	1450/1500
TDRA000000009068	LONDEN, BL : Add. 24098	1	1500
TDRA000000007045	BRUSSEL, KB : 9785	1	1456
TDRA000000008410	OXFORD, BL : Douce d. 19 (71b)	1	
TDRA000000001352	LEIDEN, UB : LTK 323	35	1450/1500
TDRA000000005134	Olim UTRECHT, ABM : 85 (verloren)	1	
TDRA000000008438	Olim SOTHEBY'S (Londen) : Cat. 1971-12-06, nr.29	1	1450
TDRA000000004564	OXFORD, KC : 45	1	1500
TDRA000000004570	OXFORD, KC : 81	1	1425/1475
TDRA000000010263	CAMBRIDGE, HUL : Typ. 303	1	1470/1480
TDRA000000014950	KRAKOW, MN : Czart. 2032	1	
TDRA000000011828	Olim VAN HUFFEL (Utrecht) : Cat. 1937-06-17/18, nr. 68	4	1551
TDRA000000005849	WEERT, GM : CMW 31	29	1475/1500
TDRA000000009915	STONYHURST, GC : 60	1	1450/1500
TDRA000000005861	VERSHBOW (Boston) : 83-61-15	1	1485/1490
TDRA000000005875	WENEN, ONB : Series Nova 12878	1	1450
TDRA000000007904	BRUSSEL, KB : IV 361	1	1450
TDRA000000009929	REIGATE, PCCL : 889	1	1425/1475
TDRA000000013971	BRUSSEL, KB : 4545-46	1	14??
TDRA000000007253	BRUSSEL, KB : IV 826	1	
TDRA000000007535	BRUSSEL, KB : 14688	11	14??
TDRA000000003747	BRUSSEL, KB : 4583	3	14??
TDRA000000001150	UTRECHT, UB : Cat. 1025	6	1490/1510
TDRA000000000528	TILBURG, UB : KHS 13	8	1505/1515
TDRA000000000500	UTRECHT, MCC : BMH 101	17	14??
TDRA000000012104	CHICAGO, UL : BX.2095.A.2.14	1	14??
TDRA000000004766	DARMSTADT, HLHB : 644	1	
TDRA000000009530	AMSTERDAM, BPH : BPH 71	1	1460/1470
TDRA000000010061	BOSTON, UL : STh Leaf 2	1	14??
TDRA000000008148	ZÜRICH, ZB : Rh. 187	8	14??
TDRA000000000514	UTRECHT, MCC : BMH 144	5	1450/1500
TDRA000000007290	SINT-TRUIDEN, IFG : B 66	12	
TDRA000000004799	DARMSTADT, HLHB : 1862	1	
TDRA000000004955	UTRECHT, MCC : ABM 19	7	1470
TDRA000000009295	TURIJN, BN : L I 12	1	
TDRA000000004969	UTRECHT, MCC : ABM 34B	1	
TDRA000000001756	BRUSSEL, KB : IV 385	8	1460
TDRA000000005256	UTRECHT, MCC : Warmond 92 A 8	1	1425/1475
TDRA000000004148	BRUSSEL, KB : II 5121	3	14??
TDRA000000014429	Olim SOTHEBY'S (Londen) : Cat. 1928-05-21, nr.35	1	1500
TDRA000000015737	WENEN, ONB : s.o.	1	
TDRA000000000474	UTRECHT, MCC : BMH 54	11	1455
TDRA000000004612	KOPENHAGEN, KB : Thott 552 Qu.	2	15??
TDRA000000014367	NEW YORK, PL : 71	1	1470
TDRA000000010101	LONDEN, BL : Stowe 16	1	
TDRA000000009444	DRESDEN, SL : M 256	1	1504
TDRA000000004160	BRUSSEL, KB : II 5606 (C)	1	
TDRA000000014415	Olim KARL und FABER (München) : Cat. 45/1953 nr. 9	1	1501
TDRA000000006011	ROTTERDAM, HMSR : 1659	6	
TDRA000000010840	Olim KOCKX (Antwerpen) : Cat. 1878, nr. 144	1	14??
TDRA000000015938	Olim DE LANGE VAN WIJNGAARDEN (Gouda) : Cat. 1845, 8° nr. 29	1	1383
TDRA000000007482	PARIJS, BG : 3391	14	1460/1470
TDRA000000006788	LOS ANGELES, PGM : 37	1	1470/1475
TDRA000000003828	BRUSSEL, KB : 11223	9	14??
TDRA000000004821	DARMSTADT, HLHB : 966	1	1471
TDRA000000001781	BRUSSEL, KB : IV 443	6	15??
TDRA000000009493	AMSTERDAM, BPH : 37	1	1430/1450
TDRA000000005054	UDEN, BMR : K Ge 1	1	15??
TDRA000000016028	Olim OSNABRÜCK, GC : D E 124	1	
TDRA000000000892	LEIDEN, UB : LTK 259	2	1400/1450
TDRA000000003343	'S-GRAVENHAGE, KB : 133 H 16	1	1475/1500
TDRA000000005726	KAAPSTAD, NLSA : Grey 3 c 17	1	1475/1500
TDRA000000008202	'S-GRAVENHAGE, KB : 76 F 30	1	1450/1500
TDRA000000011753	MAASTRICHT, BM : LGOG z.nr. (1)	1	1500
TDRA000000011035	BALTIMORE, WAG : W. 177	1	1460/1470
TDRA000000000138	GENT, UB : 542	3	1440/1460
TDRA000000004376	LONDEN, BL : Add. 15525	2	1450/1500
TDRA000000002707	'S-GRAVENHAGE, KB : 72 J 6	1	1450/1500
TDRA000000012514	LONDEN, VAM : L. 39-1981	1	1500/1561
TDRA000000004410	LONDEN, BL : Add. 29887	19	1470/1490
TDRA000000016014	LEHMAN (New York) : A.5d	1	1510
TDRA000000010471	EDINBURGH, NLS : Nat. Galleries 5765	2	1425/1475
TDRA000000016000	Olim BISHOP (New York) : 10	1	1542
TDRA000000007680	AMSTERDAM, UB : XXI C 2	1	1515
TDRA000000004389	LONDEN, BL : Add. 20729	3	15??
TDRA000000005929	LEEUWARDEN, FM : Stamnr. 2452	1	
TDRA000000014824	TRAPPIST, AG : 29	1	14??
TDRA000000011784	CHICAGO, NL : 53	1	1475
TDRA000000003394	'S-GRAVENHAGE, KB : 71 H 54	12	1500/1600
TDRA000000013187	NEW YORK, CU : Plimpton Collection 306	1	1450
TDRA000000014830	Olim CHRISTIE'S (Londen) : Cat. 1972-06-28, nr. 6	1	1450/1475
TDRA000000005083	UDEN, BMR : H Bn 4	1	1600
TDRA000000011960	Olim BERKELOUW (Rotterdam) : 1930, nr.844	1	1530
TDRA000000005915	BRUSSEL, KB : IV 1248	13	1450/1460
TDRA000000007872	OPPERMANN (Basel) : 1 (BNM)	3	1530
TDRA000000008599	PARIJS, BA : 565	53	1400/1415
TDRA000000011976	DUNEDIN, PL : 61	1	1470
TDRA000000005903	PHILADELPHIA, FL : Lewis European 183	7	1500
TDRA000000013191	CHICAGO, NL : 117	1	14??
TDRA000000005081	KEULEN, HA : GB Oct. 22	1	
TDRA000000014832	Olim CHRISTIE'S (Londen) : Cat. 1972-06-28, nr. 8	1	1450/1475
TDRA000000003396	'S-GRAVENHAGE, KB : 133 H 12	4	1545
TDRA000000016016	LEHMAN (New York) : B.21	1	1510
TDRA000000008228	Olim MAASTRICHT, MINDERBROEDERS : 4	4	
TDRA000000007669	AMSTERDAM, UB : XI H 3	1	1532
TDRA000000002711	Olim FORUM (Utrecht) : Cat. 99, nr. 3	1	1450
TDRA000000004360	ARNHEM, OB : 9	1	14??
TDRA000000003369	'S-GRAVENHAGE, KB : 133 H 11	9	1450/1500
TDRA000000005718	KAAPSTAD, NLSA : Grey 3 b 7	1	1450/1500
TDRA000000016002	Olim BISHOP (New York) : 38	1	1500
TDRA000000003341	'S-GRAVENHAGE, KB : 130 E 19	1	1475/1500
TDRA000000007641	AMSTERDAM, UB : II E 94	1	14??
TDRA000000005056	KEULEN, HA : W 77	3	
TDRA000000004348	DÜSSELDORF, ULB : C 93	18	1450/1463
TDRA000000011037	BALTIMORE, WAG : W. 202	1	1460/1470
TDRA000000007133	BRUSSEL, KB : 10957	1	
TDRA000000008200	'S-GRAVENHAGE, KB : 130 E 17	1	
TDRA000000005724	KAAPSTAD, NLSA : Grey 3 c 4	1	14??
TDRA000000005297	GAESDONCK, CA : 5	8	1450/1500
TDRA000000010842	ITHACA, CU : 4600 Bd. Ms. 24	1	14??
TDRA000000012099	GRIMBERGEN, AB : II 57	1	1530/1540
TDRA000000004823	DARMSTADT, HLHB : 935	1	1460
TDRA000000006952	CAMBRIDGE, QC : 50	1	1453
TDRA000000014365	NEW YORK, PL : 60	1	1500
TDRA000000005268	TILBURG, TF : TFK HS 7	11	14??
TDRA000000014403	MECHELEN, SAB : HH II	1	14??
TDRA000000004610	KOPENHAGEN, KB : Thott 550 Qu.	5	1450/1500
TDRA000000000476	UTRECHT, MCC : BMH 56	15	14??
TDRA000000016214	MONTREAL, MU : 101	1	1470
TDRA000000004162	BRUSSEL, KB : II 5292	1	1600
TDRA000000014371	NEW YORK, PL : 98	1	14??
TDRA000000002513	SINT-PETERSBURG, BSS : Goll. O.v.I, 1	1	1480
TDRA000000004638	KOPENHAGEN, KB : Thott 551 Oct.	2	
TDRA000000001740	BRUSSEL, KB : IV 312	10	14??
TDRA000000006749	BERLIJN, KK : 1754	1	
TDRA000000007457	GOOSSENS (Tilburg) : z.s.	3	1475
TDRA000000005240	UTRECHT, MCC : Warmond 92 A 20	3	1500/1525
TDRA000000015866	Olim DE LANGE VAN WIJNGAARDEN (Gouda) : Cat. 1845, 8° nr. 33	1	14??
TDRA000000009297	KRAUS (New York) : Cat. 100, z.nr.	1	1450
TDRA000000010088	LONDEN, DC : 25	1	14??
TDRA000000015696	LÜBECK, SB : Theol. Germ. 66	3	1470
TDRA000000004957	UTRECHT, MCC : ABM 21	1	1450/1500
TDRA000000010711	WENEN, ONB : Series Nova 2624	1	1520/1530
TDRA000000010705	WENEN, ONB : 2730	1	1520/1530
TDRA000000014563	LUIK, UB : Wittert 27	1	1475/1500
TDRA000000010063	BOSTON, UL : STh Leaf 7	1	14??/15??
TDRA000000006601	LOS ANGELES, PGM : Ludwig IX 7	1	1450/1460
TDRA000000008162	Olim OLSCHKI (Florence) : Cat. 74/1910, nr. 25	5	1530
TDRA000000009268	OXFORD, BL : Laud. Lat. 15	1	1400/1425
TDRA000000014239	LUIK, UB : Wittert 17	1	14??
TDRA000000005877	PARTICULIERE COLLECTIE (Duitsland) : Cat. Defoer (e.a.) 1989, nr. 18	1	1420
TDRA000000014952	KRAKOW, MN : Czart. 3093	1	
TDRA000000009917	STONYHURST, GC : 63	1	1487
TDRA000000012489	BERLIJN, KK : 78 B 12	1	1482
TDRA000000005678	BRUGGE, SB : 315	1	14??
TDRA000000002671	Olim WARSCHAU, BZ : Cimelia 40 (verloren)	1	1480
TDRA000000006417	ASTON, RL : s.o.	1	1498
TDRA000000010261	VENETIE, BC : V, 6	1	1475/1500
TDRA000000004214	BRUSSEL, KB : II 7017	3	14??
TDRA000000002665	'S-GRAVENHAGE, KB : 135 K 5	1	1470/1475
TDRA000000012310	ZISSKA & KISTNER : Cat. 34/I (1999-10-26/29) nr. 2	1	1522
TDRA000000005644	ZUTPHEN, LWK : Olim 7	5	1445
TDRA000000008360	PARTICULIERE COLLECTIE (Nederland) : 2	1	1451
TDRA000000001344	LEIDEN, UB : LTK 315	9	1450/1500
TDRA000000007735	FULDA, LB : Aa 124	5	1450/1475
TDRA000000002659	'S-GRAVENHAGE, KB : 135 G 22	1	1501
TDRA000000001350	LEIDEN, UB : LTK 321	41	1500/1550
TDRA000000008412	OXFORD, BL : Douce 381 (106-120)	1	
TDRA000000008374	KIEL, UB : Duod. 70	4	1540
TDRA000000006359	NIJMEGEN, JBB : 5000 A 26	1	1415/1420
TDRA000000011625	LONDEN, BL : Add. 41338	1	1475/1500
TDRA000000008413	OXFORD, BL : Douce 381 (164-6)	1	
TDRA000000001351	LEIDEN, UB : LTK 322	37	1470/1490
TDRA000000002658	'S-GRAVENHAGE, KB : 135 G 21	1	1480
TDRA000000002880	Olim 'S-GRAVENHAGE, KB : 71 H 53 (verloren)	3	1370
TDRA000000001437	LEIDEN, UB : LTK 1219	28	
TDRA000000008375	KLEEF, SA : z.s	1	1440
TDRA000000008361	LIBERNA-COLLECTIE (Hilversum) : z.s.	1	1491
TDRA000000008407	OXFORD, BL : Douce 381 (89-103)	1	
TDRA000000002664	'S-GRAVENHAGE, KB : 135 J 10	1	1500/1525
TDRA000000004215	BRUSSEL, KB : II 7237	1	15??
TDRA000000010260	PARMA, BP : Pal. 153	1	1475/1500
TDRA000000014760	AMSTERDAM, KRIJTBERG : 1	6	1470
TDRA000000000067	GENT, UB : 205	17	1450/1500
TDRA000000012463	PARIJS, BN : Nouv. acq. Lat. 3107	1	1400/1425
TDRA000000002670	'S-GRAVENHAGE, KB : 135 J 50	1	1430
TDRA000000004201	BRUSSEL, KB : II 6407	12	14??
TDRA000000009916	STONYHURST, GC : 62	1	1325/1375
TDRA000000015481	LUIK, UB : Wittert 23	1	15??
TDRA000000005692	'S-GRAVENHAGE, KB : 76 F 2	1	1454
TDRA000000002857	PARIJS, BN : Néerl. 129	8	1500
TDRA000000013972	Olim LAMBIN (Ieper) : Cat. 1841, nr. 4	1	
TDRA000000005876	LOS ANGELES, PGM : 40	3	1405/1410
TDRA000000007913	BRUSSEL, KB : IV 375	1	1460
TDRA000000009269	'S-GRAVENHAGE, MM : 10 F 11	1	1440
TDRA000000003744	BRUSSEL, KB : 4559	5	1604
TDRA000000007522	BRUSSEL, KB : IV 199	8	14??
TDRA000000002328	WENEN, ONB : Series Nova 12827	18	16??
TDRA000000003036	BERLIJN, SBB-PK : Germ. Oct. 334	1	14??
TDRA000000004759	DARMSTADT, HLHB : 1900	1	
TDRA000000006600	KRAUS (New York) : Cat. 108, z.nr.	1	
TDRA000000010062	BOSTON, UL : STh Leaf 3-6	1	14??
TDRA000000011368	WEERT, GM : CMW 11	1	1450/1475
TDRA000000009527	BERLIJN, SBB-PK : Theol. Lat. Qu. 290	1	1430/1431
TDRA000000010710	WENEN, ONB : Series Nova 13251	1	1537
TDRA000000006172	WIESBADEN, HSA : 3004 B 10	35	1410
TDRA000000015668	Olim DE REUME (Brussel) : Cat. 7/8-3-1866, nr. 255	1	14??
TDRA000000014576	KEULEN, HA : W 119	4	1450/1500
TDRA000000004956	UTRECHT, MCC : ABM 20	1	1490/1495
TDRA000000011383	SCHWARZ (New York) : 45	1	1500/1525
TDRA000000015867	PRAAG, PNP : Strahov DCV 4	1	
TDRA000000001741	BRUSSEL, KB : IV 317	15	1510
TDRA000000008003	BERLIJN, SBB-PK : Germ. Oct. 499	2	14??
TDRA000000015734	SIGMARINGEN, FHM : 45	1	
TDRA000000005527	Olim FRENSWEGEN, MARIENWOLDE : z.s.	2	1470
TDRA000000007456	Olim NIJHOFF ('s-Gravenhage) : 3 (BNM)	28	1535
TDRA000000006748	BERLIJN, KK : 78 B 13	1	
TDRA000000011234	AMSTERDAM, MA : 456	6	1450/1500
TDRA000000009309	MÜNSTER, UB : 801	1	14??
TDRA000000010658	WENEN, ONB : 2032	1	1510/1520
TDRA000000014416	Olim KARL und FABER (München) : Cat. 45/1953 nr. 11	1	1450/1475
TDRA000000016201	Olim FEISS (Cleveland Heights) : 9	1	1500
TDRA000000008981	TRIER, SB : 1981/2 Oct.	9	1450/1500
TDRA000000006774	ROME, BAV : Vat. lat. 9488	1	
TDRA000000002506	WENEN, ONB : Series Nova 12908	1	1466
TDRA000000006760	BRUSSEL, KB : IV 91	1	1470
TDRA000000016215	MONTREAL, MU : 109	1	1510
TDRA000000000477	UTRECHT, MCC : BMH 57	12	14??
TDRA000000004611	KOPENHAGEN, KB : Thott 551 Qu.	9	1450/1500
TDRA000000004822	DARMSTADT, HLHB : 1014	1	1480
TDRA000000007495	BERLIJN, KK : 78 B 14	1	1500
TDRA000000005282	WOLFENBÜTTEL, HAB : 1166 Helmst.	1	
TDRA000000009490	AMSTERDAM, BPH : BPH 36	1	1410/1420
TDRA000000003803	BRUSSEL, KB : 10761	8	1475
TDRA000000011036	BALTIMORE, WAG : W. 183	1	1460/1470
TDRA000000007654	AMSTERDAM, UB : V J 28	1	14??
TDRA000000005043	KEULEN, HA : W 62	1	
TDRA000000003354	'S-GRAVENHAGE, KB : 133 F 20	13	1450/1500
TDRA000000008201	'S-GRAVENHAGE, KB : 76 F 15	1	1450
TDRA000000007126	BALTIMORE, WAG : W. 197	1	1460
TDRA000000003340	'S-GRAVENHAGE, KB : 131 G 1	11	1489
TDRA000000006576	WENEN, ONB : Series Nova 13239	1	1480
TDRA000000016003	Olim BISHOP (New York) : 46	1	14??
TDRA000000005719	KAAPSTAD, NLSA : Grey 3 b 8	1	14??
TDRA000000014600	Olim VAN BAALEN (Rotterdam) : Cat. 1863-11-30, nr. 157	1	
TDRA000000016017	LEHMAN (New York) : z.s.	1	1510
TDRA000000002704	'S-GRAVENHAGE, KB : 71 J 76	1	1450/1500
TDRA000000002937	BERLIJN, SBB-PK : Germ. Qu. 651	10	1524
TDRA000000006589	MAGGS Bros. (Londen) : Cat. 9/1975, nr. 3	1	
TDRA000000014833	Olim CHRISTIE'S (Londen) : Cat. 1972-06-28, nr. 19	1	1450
TDRA000000011977	AUCKLAND, SJC : 48	1	1425/1475
TDRA000000011963	EGE (Cleveland) : 51	1	14??
TDRA000000007828	EDINBURGH, NLS : Nat. Galleries 7131	7	1420/1440
TDRA000000007196	BALTIMORE, WAG : W. 270	1	1440/1450
TDRA000000009839	OXFORD, BL : Latin liturgical f.3	1	1380/1381
TDRA000000003327	'S-GRAVENHAGE, KB : 132 G 38	1	1485/1490
TDRA000000007633	BRUGGE, SB : 674	2	1450/1475
TDRA000000011051	BALTIMORE, WAG : W. 178	1	1500
TDRA000000005024	KEULEN, HA : W 41	1	
TDRA000000014129	Olim TE WINKEL (Amsterdam) : 3	1	15??
TDRA000000003333	'S-GRAVENHAGE, KB : 133 H 17	1	1475/1500
TDRA000000007155	BRUSSEL, KB : 4483	1	14??
TDRA000000004474	OXFORD, BL : Rawlinson Liturg. f 38	1	1503
TDRA000000004312	CAMBRIDGE, FM : McClean 95	2	1480/1490
TDRA000000014101	Olim HIERSEMANN (Leipzig) : Cat. 487 nr. 66	1	1440
TDRA000000005018	KEULEN, HA : W 19	1	
TDRA000000004306	CAMBRIDGE, FM : 2-1960	1	
TDRA000000016064	DARMSTADT, HLHB : 928	1	
TDRA000000013493	Olim DENIE (Antwerpen) : Cat. 1951 nr. 156	1	14??
TDRA000000004689	BALTIMORE, WAG : W. 170	1	1430/1440
TDRA000000005597	ANTWERPEN, SB : B 141155	153	1475
TDRA000000015790	CLEVELAND, MA : s.o.	1	
TDRA000000005583	HAMBURG, SUB : Theol. 2058	32	1475/1500
TDRA000000009391	CHICAGO, UL : BX.2160.A.1.14	1	1470/1480
TDRA000000010818	Olim SCRIVE (Lille) : z.n.	1	1500
TDRA000000009408	Olim DE CODT (Assebroek) : z.s.	3	1450
TDRA000000015747	Olim HAUSWEDELL (Hamburg) : Cat. 96 (1960-05-30), nr. 646	1	
TDRA000000015753	Olim GOESIN (Gent) : Cat. 1811-06-25, nr. 8	1	
TDRA000000003657	BRUSSEL, KB : 2555-58	5	1450/1475
TDRA000000002549	Olim WARSCHAU, BN : Petersburg, Goll. O.v.I, 7 (verloren)	8	1435
TDRA000000015035	Olim SCHINKEL ('s-Gravenhage) : Cat. 1864, nr. 30	1	14??
TDRA000000004110	BRUSSEL, KB : II 3436	1	1577
TDRA000000010165	DUBLIN, TC : 107	1	1450/1500
TDRA000000016272	BRUSSEL, KB : IV 209 (16)	1	14??
TDRA000000012014	SAN MARINO, HL : HM 1162	1	1526/1539
TDRA000000000404	'S-GRAVENHAGE, MM : 10 F 23	11	1470/1490
TDRA000000008058	DE LIGNE (Beloeil) : z.s.	2	14??
TDRA000000006713	GOTHA, LB : Membr. II 137	1	1440/1460
TDRA000000010171	JERUZALEM, JNUL : Var. 312/2	1	1450/1500
TDRA000000000362	NIJMEGEN, UB : 313	15	1425/1475
TDRA000000013478	TOLEDO, MA : 27	1	14??
TDRA000000001685	BRUSSEL, KB : IV 94	37	1510
TDRA000000001861	BRUSSEL, KB : IV 999	9	1470/1490
TDRA000000015800	Olim GETZ (Beverly Hills) : 18	1	14??
TDRA000000003051	BERLIJN, SBB-PK : Germ. Oct. 381	1	
TDRA000000006129	MÜNSTER, UB : 767	2	1510
TDRA000000000558	ROTTERDAM, GB : 96 F 3	1	1460
TDRA000000008110	LEIDEN, UB : BPL 3349	8	1450/1500
TDRA000000014539	PARIJS, BN : Lat. 8995	1	1275/1325
TDRA000000010039	BRUGGE, SB : 675	1	14??/15??
TDRA000000009540	AMSTERDAM, BPH : ICN 153	1	1480
TDRA000000009226	LONDEN, BL : Harley 2921	1	14??
TDRA000000010777	BALTIMORE, WAG : W. 435	1	1490
TDRA000000004702	Olim OSNABRÜCK, RG : C XVI (verloren)	6	1475/1500
TDRA000000004716	DARMSTADT, HLHB : 1880	24	1480
TDRA000000009232	PARIJS, BN : Lat. 14829	1	
TDRA000000010763	BALTIMORE, WAG : W. 279	1	1470
TDRA000000000570	ROTTERDAM, GB : 96 G 10	29	1560
TDRA000000007579	BARCELONA, BC : 1849	1	1475/1500
TDRA000000006667	BRUSSEL, KB : IV 145	1	1470
TDRA000000008892	MANCHESTER, JRL : Dutch 13	14	1425/1475
TDRA000000003290	'S-GRAVENHAGE, KB : 76 G 12	1	1480/1500
TDRA000000004299	CAMBRIDGE, FM : 270	77	15??
TDRA000000015380	BALTIMORE, WAG : W. 255	1	1460
TDRA000000011858	Olim BUTE : 94	1	1460/1480
TDRA000000003284	'S-GRAVENHAGE, KB : 75 H 48	1	1450/1500
TDRA000000014920	LUIK, UB : Wittert 19	1	14??
TDRA000000013901	Olim VAN DER LINDE : Cat. 1864, nr. 199	1	14??
TDRA000000009959	BALTIMORE, WAG : W. 438	1	1480/1490
TDRA000000007974	AMSTERDAM, BH : hs. 967	10	1500/1525
TDRA000000013915	DEVENTER, SAB : 101 N 32 KL	1	1480
TDRA000000005811	PARIJS, BM : 920	14	1350/1400
TDRA000000011864	Olim BUTE : 96	1	1460/1480
TDRA000000001444	ANTWERPEN, RG : Neerl. 12	3	1479
TDRA000000016138	Olim DE VOS (Scheldewindeke) : 1	1	1475/1500
TDRA000000001336	LEIDEN, UB : LTK 304	20	1550
TDRA000000013054	PARIJS, BA : 283	1	1474
TDRA000000007021	KAMPEN, OLVP : 1	6	1450/1500
TDRA000000014713	BALTIMORE, JHU : De Ricci 4	1	1490/1500
TDRA000000004272	CAMBRIDGE, FM : 6 G 9	1	1480
TDRA000000002603	'S-GRAVENHAGE, KB : 134 C 63	1	1500
TDRA000000011119	BRUGGE, SB : 332	1	14??
TDRA000000010561	BRUSSEL, KB : IV 320	1	1420/1430
TDRA000000010206	LEEDS, UL : Brotherton 14	1	1450/1500
TDRA000000011118	BRUGGE, SB : 331	1	14??
TDRA000000002602	ANTWERPEN, MPM : M. 14.16	20	1470/1490
TDRA000000015418	LONDEN, GL : 325	1	
TDRA000000009031	WALTON (Covington, Virginia, USA) : A 1015	1	1450
TDRA000000006316	LEUVEN, UB : A 16	1	14??
TDRA000000007008	AMSTERDAM, BPH : ICN 51	11	1470/1490
TDRA000000014712	PRINCETON, UL : Garrett 60	1	1460
TDRA000000004267	WEERT, GM : CMW 5	8	1460/1480
TDRA000000014074	KAAPSTAD, NLSA : Kotze	1	
TDRA000000007746	BRUSSEL, KB : IV 2	1	14??
TDRA000000008313	NIJMEGEN, UB : 457	1	1475/1500
TDRA000000012439	Olim ARENBERG : 25	1	14??
TDRA000000005145	AMSTERDAM, UB : XXI C 5	1	1472
TDRA000000013914	Olim VAN DER LINDE : Cat. 1864, nr. 218	1	14??
TDRA000000007975	BRUSSEL, KB : IV 1113	1	1445
TDRA000000013900	Olim VAN DER LINDE : Cat. 1864, nr. 198	1	14??
TDRA000000013928	Olim VAN DER LINDE : Cat. 1864, nr. 242	1	15??
TDRA000000015381	BALTIMORE, WAG : W. 332	1	1510
TDRA000000014935	Olim VAN HUFFEL (Utrecht) : Cat. 1951-12-12/18, nr. 2067	1	14??
TDRA000000000571	ROTTERDAM, GB : 96 H 1	3	1520
TDRA000000010762	BALTIMORE, WAG : W. 196	1	1470
TDRA000000009233	LEIDEN, UB : LTK 2220	46	1490
TDRA000000004717	DARMSTADT, HLHB : 1876	18	1456
TDRA000000014504	Olim LEUVEN, UB : D 450 (verloren)	1	
TDRA000000008893	MANCHESTER, JRL : Dutch 15	1	14??
TDRA000000006666	BRUSSEL, KB : IV 95	1	1475
TDRA000000009555	AMSTERDAM, BPH : BPH 183	1	1480/1490
TDRA000000007578	BALTIMORE, WAG : W. 158	1	
TDRA000000000217	GENT, UB : 1376	10	1475/1500
TDRA000000008887	Olim MAASTRICHT, MINDERBROEDERS : 1	1	
TDRA000000009541	AMSTERDAM, BPH : ICN 163	1	1475/1500
TDRA000000000565	ROTTERDAM, GB : 96 F 6	8	1500
TDRA000000007544	BRUSSEL, KB : IV 1282	7	1578/1583
TDRA000000015154	LONDEN, BL : Add. 35319	1	1505/1539
TDRA000000011332	Olim KETELE (Oudenaarde) : Cat. 11	1	14??
TDRA000000000559	ROTTERDAM, GB : 96 G 4	7	1450/1500
TDRA000000008105	LONDEN, BL : Loan 85/6	6	14??
TDRA000000011454	Olim KUYPER (Haarlem) : Cat. 30; 2/3-6-1999, nr.2926	1	14??
TDRA000000006128	MÜNSTER, UB : 781	1	1500
TDRA000000015801	Olim GETZ (Beverly Hills) : 22	1	1400/1425
TDRA000000001860	BRUSSEL, KB : IV 997	21	1425
TDRA000000015815	PORTSMOUTH, PP : 1	1	14??
TDRA000000001848	BRUSSEL, KB : IV 858	16	1470/1490
TDRA000000007593	BIRMINGHAM, PL 091/MED/: 5	1	1425/1475
TDRA000000001684	BRUSSEL, KB : IV 93	20	1433
TDRA000000006074	WESTMALLE, TRAPPISTEN : Liturgia A 15	7	1475/1500
TDRA000000004663	NEW YORK, PML : M. 71	4	1460/1520
TDRA000000000363	NIJMEGEN, UB : 314	8	1450/1480
TDRA000000010170	JERUZALEM, JNUL : Yah. Var. 9	1	1450/1500
TDRA000000009435	PARTICULIERE COLLECTIE (Nederland) : z.s.	18	1400/1450
TDRA000000014302	DARMSTADT, HLHB : 1200	1	1475
TDRA000000004677	NEW YORK, PML : H 2	1	1488
TDRA000000012015	SAN MARINO, HL : HM 1164	1	1500/1525
TDRA000000000411	'S-GRAVENHAGE, MM : 10 E 4	8	1515
TDRA000000015752	GLASGOW, UL : Hunt. 186	1	15??
TDRA000000001727	BRUSSEL, KB : IV 225	10	1545
TDRA000000007430	PURMEREND, WA : MONNICKENDAM 154	12	1520
TDRA000000015034	Olim SIX VAN HILLEGOM (Amsterdam) : Cat. 1928 nr. 217	1	
TDRA000000004139	BRUSSEL, KB : II 4946	1	14??
TDRA000000012983	MILAAN, BT : 485	1	
TDRA000000010158	OXFORD, QC : 210	1	1400/1450
TDRA000000006909	ANTWERPEN, RG : Misc. 26	13	1500
TDRA000000008930	Olim NIJMEGEN, CARMEL : 3	1	
TDRA000000016298	Olim CHRISTIE'S (Londen) : Cat. 2011-11-23, 8002	1	1425
TDRA000000015791	LONDEN, BL : Add. 38126	1	1480/1490
TDRA000000015949	POSTEL, NORBERTIJNEN : P IV 2	1	14??
TDRA000000003695	BRUSSEL, KB : 3050-51	6	15??
TDRA000000006921	AMSTERDAM, UB : V A 57	1	1425/1450
