id	signatuur	aantal_teksten	datering
TDRA000000000274	GENT, UB : 1761	9	1448
TDRA000000004012	BRUSSEL, KB : II 278	21	1450/1500
TDRA000000004774	DARMSTADT, HLHB : 1899	3	1520
TDRA000000006163	PARTICULIERE COLLECTIE (Verenigde Staten) : z.s.	1	1480/1490
TDRA000000000506	UTRECHT, MCC : BMH 108	43	1500/1525
TDRA000000006177	TENSCHERT (Rotthalmünster) : z.s.	1	
TDRA000000001618	DEVENTER, SAB : Hs. I, 36 (101 F 15 KL)	18	1459
TDRA000000004760	DARMSTADT, HLHB : 1942	1	
TDRA000000004006	BRUSSEL, KB : II 166	7	1510
TDRA000000006611	PARIJS, BA : 575	1	
TDRA000000010073	LONDEN, BL : Add. 18852	1	
TDRA000000015123	WALLER ('s-Gravenhage) : z.s.	1	1450
TDRA000000001156	UTRECHT, UB : Cat. 1031	4	14??
TDRA000000006639	NOVA RICE, PREMONSTRATENZERS : 70	1	1461
TDRA000000007241	NAPELS, BN : I B 27	1	
TDRA000000004990	Olim UTRECHT, ABM : 55	1	1475/1500
TDRA000000003027	BERLIJN, SBB-PK : Germ. Oct. 229	1	
TDRA000000003966	BRUSSEL, KB : 21371	14	1465
TDRA000000015862	MEWETT (Cleveland) : 17	1	1500
TDRA000000008199	'S-GRAVENHAGE, KB : 76 G 7	1	
TDRA000000010098	LONDEN, SA : 329	1	14??
TDRA000000006188	ROMORANTIN, BM : 2	1	
TDRA000000007296	BRUSSEL, KB : IV 1207	2	1500/1550
TDRA000000004947	UTRECHT, MCC : ABM 12A	1	1425/1475
TDRA000000002271	AMSTERDAM, UB : I F 51	11	1460
TDRA000000016204	CINCINNATI, UL : 5	1	14??
TDRA000000006017	UTRECHT, MCC : s.o.	23	1545
TDRA000000000466	UTRECHT, MCC : BMH 48	10	1450/1500
TDRA000000016210	PELL (Newport) : 5	1	1475/1500
TDRA000000006003	UTRECHT, MCC : Warmond 92 G 45	1	1447/1457
TDRA000000010661	WENEN, ONB : Series Nova 2625	1	1510/1520
TDRA000000000472	UTRECHT, MCC : BMH 52	10	1450/1500
TDRA000000015719	BRUSSEL, KB : II 7604	1	1478
TDRA000000010107	NEURENBERG, SB : Hert. 3	1	1400/1425
TDRA000000009456	WASHINGTON, LC : 51	1	1500/1525
TDRA000000008990	UTRECHT, MCC : BMH 89	1	15??
TDRA000000008006	SCHELLEKENS ('s-Hertogenbosch) : z.s.	39	
TDRA000000003147	'S-GRAVENHAGE, KB : 134 C 47	1	1475/1525
TDRA000000004628	KOPENHAGEN, KB : GKS 3446 Oct.	1	
TDRA000000007447	STOCKHOLM, KB : Huseby 23	7	1450/1500
TDRA000000006759	BRUSSEL, KB : IV 40	1	1485
TDRA000000005250	UTRECHT, MCC : Warmond 92 A 13	1	1457
TDRA000000009495	AMSTERDAM, BPH : BPH 38	1	1440/1475
TDRA000000005287	WOLFENBÜTTEL, HAB : 65.4 Aug. Oct.	1	
TDRA000000004827	DARMSTADT, HLHB : 1097	1	1470
TDRA000000001787	BRUSSEL, KB : IV 497	9	
TDRA000000011594	LUIK, UB : Wittert 14	1	1451/1493
TDRA000000010846	Olim SIX VAN HILLEGOM (Amsterdam) : Cat. 1928 nr. 212	1	
TDRA000000015080	Olim CORNUAU (Parijs) : z.s.	1	18??
TDRA000000015269	PHILADELPHIA, FL : Lewis European 102	1	1515
TDRA000000006567	WENEN, ONB : Series Nova 13240	1	1460
TDRA000000004370	LONDEN, BL : Add. 11417	9	1469
TDRA000000012512	DUBLIN, CBL : W. 99	1	1500/1561
TDRA000000004416	LONDEN, BL : Add. 31915	4	
TDRA000000003379	'S-GRAVENHAGE, KB : 131 H 12	7	1500
TDRA000000016012	LEHMAN (New York) : A.13	1	1500
TDRA000000015533	Olim KOCKX (Antwerpen) : Cat. 1876, nr. 345	7	1532
TDRA000000005720	KAAPSTAD, NLSA : Grey 3 b 9	1	15??
TDRA000000003351	'S-GRAVENHAGE, KB : 71 J 69	1	1543
TDRA000000008204	'S-GRAVENHAGE, KB : 130 E 2	1	
TDRA000000006229	Olim LEUVEN, UB : 165 (verloren)	1	
TDRA000000007889	BRUSSEL, KB : IV 36	1	1250/1260
TDRA000000011033	BALTIMORE, WAG : W. 186	1	1460
TDRA000000007651	AMSTERDAM, UB : V J 3	1	1400/1420
TDRA000000013624	UTRECHT, MCC : ABM 95	1	1482
TDRA000000008576	LONDEN, BL : Add. 16998	1	
TDRA000000007123	EVORA, BP : s.o.	1	1460/1475
TDRA000000003345	'S-GRAVENHAGE, KB : 133 D 7	1	1450/1500
TDRA000000007876	BRUGGE, SAA : z.s.	3	1475/1525
TDRA000000010488	VAHLQVIST (Stockholm) : z.s.	3	
TDRA000000003392	'S-GRAVENHAGE, KB : 131 E 30	13	1500/1550
TDRA000000005085	KEULEN, HA : GB Oct. 30	7	
TDRA000000006598	MANCHESTER, JRL : Dutch 8	1	1450/1500
TDRA000000014822	TRAPPIST, AG : 23	1	14??
TDRA000000004399	LONDEN, BL : Add. 25904	10	1530
TDRA000000005087	KEULEN, HA : GB Oct. 49	1	
TDRA000000014834	Olim CHRISTIE'S (Londen) : Cat. 1972-06-28, nr. 20	1	1460
TDRA000000003390	'S-GRAVENHAGE, KB : 133 F 4	2	1500/1550
TDRA000000011794	CHICAGO, NL : 61	17	1471
TDRA000000013197	PHILADELPHIA, UP : Schoenberg s.o.	1	1475/1500
TDRA000000007684	AMSTERDAM, UB : XXV C 26	1	1485
TDRA000000007653	AMSTERDAM, UB : V J 13	1	1582
TDRA000000011031	BALTIMORE, WAG : W. 494 (a-i)	1	1450
TDRA000000001222	TILBURG, TF : Haaren 4	1	1400/1450
TDRA000000011757	Olim DE GHELLINCK (Elsegem) : z.nr.	1	1450/1500
TDRA000000008206	'S-GRAVENHAGE, KB : 131 G 41	1	1425/1475
TDRA000000005722	KAAPSTAD, NLSA : Grey 3 b 16	1	1470
TDRA000000005736	LUIK, UB : 2328	9	1504
TDRA000000015525	Olim VAN DUYSE : Cat. 1862, nr. 99	1	
TDRA000000005078	KEULEN, HA : GB Oct. 10	1	
TDRA000000016004	LAMBERT (New York) : 2	1	1510
TDRA000000007109	SIENA, BP : G VIII 55	1	
TDRA000000010475	BRUSSEL, KB : IV 1280	5	1500
TDRA000000015519	Olim LAMBIN (Ieper) : Cat. 1841, nr. 15	1	1400/1450
TDRA000000002703	'S-GRAVENHAGE, KB : 71 J 73	1	1475/1500
TDRA000000004372	LONDEN, BL : Add. 14042	6	1500/1525
TDRA000000010688	MANCHESTER, JRL : Latin 101	1	14??
TDRA000000004825	DARMSTADT, HLHB : 4157	1	1460
TDRA000000005285	WOLFENBÜTTEL, HAB : 57.2 Aug. Oct.	1	
TDRA000000006798	LOS ANGELES, PGM : Ludwig IX 18	1	1515
TDRA000000003838	BRUSSEL, KB : 11793	9	1450/1500
TDRA000000005291	WOLFENBÜTTEL, HAB : 85.11 Aug. Duod.	2	14??
TDRA000000004831	DARMSTADT, HLHB : 1105	1	1470
TDRA000000010844	MÜNCHEN, BSB : Clm 23638	1	1500/1525
TDRA000000003810	BRUSSEL, KB : 10895	1	1532
TDRA000000000458	UTRECHT, MCC : BMH 45	5	1450/1500
TDRA000000005246	UTRECHT, MCC : Warmond 92 A 7	2	1475/1500
TDRA000000002529	PRAAG, NM : I.E.a. 12	1	
TDRA000000001752	BRUSSEL, KB : IV 363	9	15??
TDRA000000010887	BRUSSEL, KB : II 122	1	16??
TDRA000000012048	BRUSSEL, KB : II 4743	1	15??
TDRA000000016206	POUGHKEEPSIE, VC : 7	1	1500
TDRA000000014411	Olim KARL und FABER (München) : Cat. 83/1963 nr. 8	1	1475/1500
TDRA000000014377	ROSEMAN (Cleveland Heights) : 12	1	14??
TDRA000000006773	ROME, BAV : Ottob. lat. 2919	1	1425/1450
TDRA000000010111	ABERDEEN, UL : 274	1	1450/1475
TDRA000000009454	WASHINGTON, LC : 46	1	1500
TDRA000000004170	BRUSSEL, KB : II 5443	18	
TDRA000000002267	AMSTERDAM, UB : I G 24	25	1450/1500
TDRA000000004616	KOPENHAGEN, KB : Thott 131 Oct.	1	1529
TDRA000000006001	CUNEN (Oss) : 3 (BNM)	11	1470
TDRA000000007280	RIJSEL, BM : Olim 62	12	14??
TDRA000000004951	UTRECHT, MCC : ABM 15	1	1445
TDRA000000003794	BRUSSEL, KB : 8870	1	14??
TDRA000000004945	UTRECHT, MCC : ABM 11	1	
TDRA000000006808	OXFORD, BL : Auct.D.inf.2. 13	1	
TDRA000000003025	BERLIJN, SBB-PK : Germ. Oct. 205	1	
TDRA000000012128	VIC, BE : 91	1	1400/1450
TDRA000000008170	'S-GRAVENHAGE, KB : 133 D 14	1	1420/1440
TDRA000000008616	NEW YORK, PML : M. 1073	1	1400/1415
TDRA000000009508	AMSTERDAM, BPH : BPH 56	1	1500/1510
TDRA000000003743	BRUSSEL, KB : 4510-11	10	14??
TDRA000000003757	BRUSSEL, KB : 4660-61	14	14??/15??
TDRA000000011435	CHARLOTTESVILLE, UL : Stone 7	1	14??
TDRA000000013222	EDINBURGH, UL : 47	1	14??
TDRA000000006161	STUTTGART, WLB : Don. 332	1	1450
TDRA000000000510	UTRECHT, MCC : BMH 111	26	
TDRA000000004776	DARMSTADT, HLHB : 1867	1	
TDRA000000004010	BRUSSEL, KB : II 270	46	14??/15??
TDRA000000007519	Olim NIJHOFF ('s-Gravenhage) : 4 (BNM)	19	1490/1565
TDRA000000010071	OXFORD, BL : Douce 256	1	1450/1500
TDRA000000004762	DARMSTADT, HLHB : 1923	2	
TDRA000000006175	MÜNSTER, DM : BM 1750, 1751, 1753	1	1475/1500
TDRA000000000504	UTRECHT, MCC : BMH 106	6	1450
TDRA000000010298	BRUSSEL, KB : 11799-800	1	14??
TDRA000000005859	UTRECHT, UB : 8 L 18	6	1450/1500
TDRA000000001381	LEIDEN, UB : LTK 356	31	1450/1500
TDRA000000007928	BRUSSEL, KB : IV 280	1	1510
TDRA000000007041	BRUSSEL, KB : 8645	1	1420/1430
TDRA000000003227	'S-GRAVENHAGE, KB : 73 F 26	1	1450/1500
TDRA000000005642	ZUTPHEN, RAZ : 9	3	1449
TDRA000000009078	FOGG (Londen) : Cat. 16 nr. 130	1	1500/1550
