titel	datering	pagina	incipit	titel_norm	taal
TEXT000000041529	Gebed tot de Michael, Gabriel en Raphael		 f.137r-137v	"Michael gabriel raphael alre hoechste boden ende alle ghi heilighen engelen gods ..."			TDRA000000003603
TEXT000000027874	Aflaatgebed		 f.177r en f.216v				TDRA000000005671
TEXT000000042020	Mariagetijden		 f.089r-095	"Maria reyne junfer ende moder ontfanc die groete die dy van de heren over ghesant is ..."			TDRA000000002036
TEXT000000002410	Getijden. Etc.; Mnl.	14??				nederlands	TDRA000000003794
TEXT000000022918	Gebed (?) tot S. Mattheus		 f.011r-013	"Licht ende scierheit der kerken verblid dich. Gemme voel gracien ..."			TDRA000000001157
TEXT000000016465	Leven van Jezus in gebeden		 f.110r-?				TDRA000000008130
TEXT000000040145	Kerstgebed tot de menswording van Christus		 f.193v-196v	"O here Jhesu Christe onse verloessing din heilige ende onbevlecte mensheit aenbeden wij..."			TDRA000000001352
TEXT000000003068	Gebeden; Ripuar.					nederlands	TDRA000000005029
TEXT000000014514	Gebeden op de zeven bloedstortingen		 f.089r-091v				TDRA000000002836
TEXT000000022529	Berijmd gebed voor de communie		 f.134v-135r	"God here ghi sijt mine sueticheit Ende al der werelt salecheit ..."			TDRA000000003672
TEXT000000024158	Gebed over de liefde tot God		 f.046v-048r	"O heyleghe werdeghe vriendeleke troesteleke god alre minleecst behoudare ihesus cristus die ons geleert hebs di te volghene ..."			TDRA000000000207
TEXT000000023637	Berijmd gebed tot de H.Franciscus		 f.036v-037r				TDRA000000001772
TEXT000000038571	Getijden van de eeuwige wijsheid		 f.047r-067v				TDRA000000008893
TEXT000000007959	Mnl. gebed uit Mechtild van Hackeborn: Liber specialis gratiae (Boek I, 19e)		 f.123r-125r	"Ic love, ic aenbede, ic gruete, ic glorificier, ic benedie die guede Jhesu om den onbegripeliken jolijt die dijn heilighe menscheit hadde in dijnre heilighe verrisenisse ..."	Mnl. vertalingen van Mechtild van Hackeborn: Liber specialis gratiae		TDRA000000003822
TEXT000000023145	Berijmd avondgebed tot God		 f.095v-096r	"Heere hemelsche vader ic bem u kint / Ic claghe u heden mine sondelike dinc / Al dat ic met minen voeten ie beghinc..."			TDRA000000005915
TEXT000000033356	Gebed		 f.?	"O ontfermhertige god die hemel ende eerde gemaeket heves ende allet dat daer bynnen is van niet, ontfermt u myns  ..."			TDRA000000005597
TEXT000000025534	Gebed tot Jezus en Maria		 f.022r-024r	"Ic beveel mi in die macht Gads Ende in der magdom sijnre liever moeder ..."			TDRA000000001350
TEXT000000026983	Vier punten waarvoor S. Elisabeth God dankte		 f.020v	"O heere, ick danck u dat ick met eenen goeden wille betaelen can ..."			TDRA000000004299
TEXT000000002835	Gebeden- en getijdenboek; Mnl.	1529				nederlands	TDRA000000004616
TEXT000000023623	Berijmd gebed tot de H. Hiëronymus op stokregel Lof Jheronimus licht der heiligher kercken		 f.183r-188r	"O Mijn siele wie sal u cracht verleenen / Loflick te lovene hoochlick alteenen / Jheronimus wiens lof niet en is om gronden ..."			TDRA000000003379
TEXT000000009948	Gebed tot Maria op naam van Augustinus		 f.266r-267v	"O waerde moeder Maria, coninghinne des meers ende versmaect niet dat gebeth des armen sondaers ..."	Ongespecificeerde Mnl. teksten op naam van Augustinus		TDRA000000007281
TEXT000000029440	Getijdenboek (usus Utrecht); Mnl.	1425/1475				nederlands	TDRA000000011917
TEXT000000007965	Vijf Mnl. gebeden tot S. Maria uit Mechtild van Hackeborn: Liber specialis gratiae (Boek I, 46)		 f.179r-180	"Wes ghegruet o alre overste maghet ende alren suetsten dropelkijn ..."	Mnl. vertalingen van Mechtild van Hackeborn: Liber specialis gratiae		TDRA000000002708
TEXT000000022515	Gebed tot S. Maria		 f.130-131	"Heileghe ende onbesmette maghet Maria moeder van hem die god ende mensche es ..."			TDRA000000003672
TEXT000000024164	Gebed tot de Drievuldigheid		 f.050v-052v	"Ghebenedijt bestu heilech vader alre hoechst ende lovelijc ende over wonderlijc in hoecheit der minnen ..."			TDRA000000000207
TEXT000000024602	Gebed op naam van Sint Joris		 f.131r-133r	(Rubriek) "Dese bedijnghe plach mijn heere sinte Joris te secghene doe hi levede. Diese over hem draecht, hine sal niet sterven onvoorsiene doot ..."			TDRA000000004431
TEXT000000028038	Korte getijden van het H. Kruis (niet de vertaling van Geert Grote)		 f.001r-025v				TDRA000000003685
TEXT000000005800	Getijdenboek; fragm.; Lat.	1425/1450				latijn	TDRA000000006891
TEXT000000034405	Gebed tijdens de mis		 f.?	"O lieve here, ic vermane u der mynnen die du haddes tot mynre zielen doe du dynen geist offerdes ..."			TDRA000000005597
TEXT000000024616	Gebed tot God		 f.062r	"O Lieve Here God, die almachtich zijt, ic bevele u mine ziele ende mijn lijf ..."			TDRA000000006558
TEXT000000024170	Getijdenboek, voor gebruik in Engeland; Lat.	1400/1450				latijn	TDRA000000009943
TEXT000000026767	Gebed ter ere van Maria		 f.189r-189v				TDRA000000006440
TEXT000000029454	Getijdenboek (usus Utrecht); Lat.	1425/1475				latijn	TDRA000000011928
TEXT000000003242	Getijden; Mnl.					onb	TDRA000000005288
TEXT000000013051	Gebed tot S. Maria op naam van Anselmus van Canterbury		 f.170r-174v	"O joncfrouwe Maria boven allen jonfrouwen een coningynne der engelen ..."	Ongespecificeerde Mnl. teksten op naam van Anselmus van Canterbury		TDRA000000005388
TEXT000000011652	Gebedenboek; Middelnederduits (Westfaals)					duits;ndu	TDRA000000007980
TEXT000000005141	Getijdenboek					onb	TDRA000000006590
TEXT000000026968	Gebed		 f.087v				TDRA000000001777
TEXT000000024819	Gebed		 f.128v-129v	"Ick bidde di, mijnlike here Jhesu Criste, om dier mijnliker mijnnen wille daer du dat meschelike geslechte mede mijndes ..."			TDRA000000008006
TEXT000000002174	Horarium ad usum Romanum (met Frans in de kalender)					frans;latijn	TDRA000000003264
TEXT000000010570	Leven van Jezus in gebeden		 f.119r-152v				TDRA000000001864
TEXT000000030878	Gebed		 f.074r-075r	"O lieve here, ic offer my tusschen dynen heiligen naecten bloedigen armen ..."			TDRA000000005388
TEXT000000040347	Gebed tot S. Sebastiaan		 f.158r-158v	"Sinte Sebastiaen oefenar godes hem kersten verberghede onder enen ridderliken clede ..."			TDRA000000007603
TEXT000000016667	Oefening over het verdriet van Maria over het lijden van Jezus, waarin verwerkt gebeden tot Maria		 f.041v-069v	"Doen die suete moeder gods Maria haeren alren suetsten sone verdoemt sach metter alre versmaetste doot ..."			TDRA000000002696
TEXT000000028951	Gebed voor de overledenen		 f.180v-182r	"Vader lof ende danck geve ic di alles guets dat gi ons gedaen hebt..."	Vader danc ende lof soe moet ghi hebben		TDRA000000001350
TEXT000000042236	Mariagetijden, eerste blad ontbreekt.		 f.013r-044r				TDRA000000009029
TEXT000000004263	Getijdenboek; Mnl.	1503/1525				nederlands;oostelijk nederlands	TDRA000000006091
TEXT000000014070	Getijdenboek; Lat.	1400/1450				latijn	TDRA000000008195
TEXT000000023804	Berijmd gebed tot de H. Bavo		 f.041r	"O Vul heeren sinte Bave / Die waert in Espegauwen grave / Ghi versmadet der werelt jolijt ..."			TDRA000000004020
TEXT000000038377	Getijden van de eeuwige wijsheid		 f.059v-085v				TDRA000000007651
TEXT000000031435	Vijftien dankzeggingen tot Maria		 f.114r-118r	"Ghebenedyt soe moetstu syn in der ewiger ewicheit daer du biste voirgesien ..."			TDRA000000013233
TEXT000000002941	Gebeden. Etc. Westfaals					duits	TDRA000000004813
TEXT000000022449	Horarium van Llangatock	1450				onb	TDRA000000009297
TEXT000000038439	Getijden van de eeuwige wijsheid		 f.091r-109v	"Salicheit der sielen ende des lives..."			TDRA000000004312
TEXT000000032114	Gebed; Lat met Mnl. rubriek		 f.240v-241v	(rubriek) "Dit es een goede oratie van onsen heere ende van onser liever vrouwen ende van alle gods heilighen. Ende die dese oracie alle dage leest die es versekert een goede doot te sterven ende daer staen XXX daghen pardoens toe die die paeus Jan gaf"			TDRA000000008057
TEXT000000032100	Gedicht over de naastenliefde		 f.163r	"Die liefde daer u godt mede stelt in vreden / Wilt die tot uwen naesten gheheel besteden ..."			TDRA000000008117
TEXT000000024762	Gebed		 f.117v-118v	"O milde barmhertige hemelsche vader, ontfanct mi dijn elleyndige kijnt huden ende in mijnre lester noet ..."			TDRA000000008006
TEXT000000034217	Gebed over het lijden van Jezus met drie pater noster		 f.?	"O here Jhesus Christe, ic biddi, gedenck des doetliken stryts den doe voer my stredes inden berch van Olyveten ende wilt die voelheit dyns duerbaeren bloedigen sweet ..."			TDRA000000005597
TEXT000000042381	Getijdenboek; Mnl.	1500				nederlands	TDRA000000016282
TEXT000000041850	Getijden van de passie (een deel ontbreekt)		 f.101r-108r				TDRA000000005268
