id	signatuur	aut_id	auteur
TDRA000000008132	MÜNSTER-ALBACHTEN (Mühlen) : 707	LEXI000000003325	Geert Grote
TDRA000000000552	ROTTERDAM, GB : 96 G 8	LEXI000000003325	Geert Grote
TDRA000000006137	Olim MÜNSTER, UB : 783 (verloren)	LEXI000000003325	Geert Grote
TDRA000000002806	LEEUWARDEN, PBF : 693 Hs.	LEXI000000022575	bruer Aryaen
TDRA000000001472	LEIDEN, UB : LTK 1532	LEXI000000003325	Geert Grote
TDRA000000005172	NIJMEGEN, JBB : 5000 CC 1	LEXI000000003704	Jan van Ruusbroec
TDRA000000005172	NIJMEGEN, JBB : 5000 CC 1	LEXI000000004416	Marquard von Lindau
TDRA000000005172	NIJMEGEN, JBB : 5000 CC 1	LEXI000000004213	Nicolaas van Straatsburg
TDRA000000009012	Olim CLAES (Antwerpen) : U 5	LEXI000000003325	Geert Grote
TDRA000000005629	HAARLEM, TM : 76	LEXI000000003325	Geert Grote
TDRA000000001329	LEIDEN, UB : LTK 297	LEXI000000003325	Geert Grote
TDRA000000005167	UTRECHT, MCC : BMH 165	LEXI000000003325	Geert Grote
TDRA000000007764	CAMBRIDGE, HUL : Dutch 13	LEXI000000003325	Geert Grote
TDRA000000007764	CAMBRIDGE, HUL : Dutch 13	LEXI000000003358	Gerlach Peters
TDRA000000007764	CAMBRIDGE, HUL : Dutch 13	LEXI000000003704	Jan van Ruusbroec
TDRA000000002436	WENEN, ONB : Series Nova 12869	LEXI000000008231	Godfried van den Briel
TDRA000000002436	WENEN, ONB : Series Nova 12869	LEXI000000003360	Hendrik Mande
TDRA000000002344	WENEN, ONB : 13655	LEXI000000004697	Olivier de Langhe
TDRA000000000553	ROTTERDAM, GB : 96 E 5	LEXI000000003325	Geert Grote
TDRA000000005417	STRAATSBURG, BNU : 73	LEXI000000020517	Conradus de Saxonia
TDRA000000004709	DARMSTADT, HLHB : 1964	LEXI000000003325	Geert Grote
