TDRA000000012619	Olim WILMERDING (New York) : 2	Lewis, Charles
TDRA000000008906	MARIEMONT, MRM : 12614	Hugo filius Symonis Hugonis
TDRA000000007610	BRECHIN, DL : 2	Cockerell, Douglas
TDRA000000010793	PARTICULIERE COLLECTIE (Duitsland) : z.s.	Jacques Pouille (Doornik?)
TDRA000000000557	ROTTERDAM, GB : 96 E 17	Teulings, C.N. ('s-Hertogenbosch)
TDRA000000010778	BALTIMORE, WAG : W. 427	Gruel, Léon
TDRA000000007953	GLASGOW, UL : Gen. 482	Carss (Glasgow)
TDRA000000007953	GLASGOW, UL : Gen. 482	Riley, Ernest
TDRA000000007952	GLASGOW, UL : Gen. 2	Carss (Glasgow)
TDRA000000007952	GLASGOW, UL : Gen. 2	Cockerell, Douglas
TDRA000000010779	BALTIMORE, WAG : W. 428	Ludovicus Bloc
TDRA000000000344	NIJMEGEN, UB : 243	Gimbrère, Lucie
TDRA000000015577	DUBLIN, CBL : W. 77	Lewis, Charles
TDRA000000004691	BALTIMORE, WAG : W. 166	Gruel, Léon
TDRA000000010790	BALTIMORE, WAG : W. 425	Gruel, Léon
TDRA000000015818	AUSTIN, UT : 6	Rivière
TDRA000000011883	NEW YORK, PML : M. 357	Poulle
TDRA000000009954	YORK, MINSTER : XVI.O.22	Sumner, O. (York)
TDRA000000000347	NIJMEGEN, UB : 280	Gimbrère, Lucie
TDRA000000009363	BALTIMORE, WAG : W. 211	Gruel, Léon
TDRA000000016218	DETROIT, IA : 27.365	Bensing (Londen)
TDRA000000001349	LEIDEN, UB : LTK 320	Maastricht
TDRA000000004543	LONDEN, BL : Egerton 2125	Ludovicus Bloc
TDRA000000012123	BARCELONA, BLG : z.s.	Gruel, Léon
TDRA000000010126	AMPLEFORTH ABBEY : 277	Rivière
TDRA000000015062	WALTON (Covington, Virginia, USA) : A 2089	Sangorski en Sutcliffe (Londen)
TDRA000000011789	CHICAGO, NL : 58	Chilliat, R.P.
TDRA000000011992	SAN MARINO, HL : HM 1087	Cockerell, Douglas
TDRA000000006785	TENSCHERT (Rotthalmünster) : Cat. 27/1991, nr. 16	Jubert, Jean-Pierre
TDRA000000010078	NEW HAVEN, YUBL : 434	waarschijnlijk Padeloup (Parijs)
TDRA000000010044	NEW HAVEN, YUBL : 190	Brugge
TDRA000000012121	BARCELONA, BLG : 410	Gruel, Léon
TDRA000000000530	TILBURG, UB : KHS 14	's-Hertogenbosch, Broeders van het Gemene Leven S. Gregorius /Fraterhuis
TDRA000000010045	BOSTON, PL : q. Med. 137	Brugge
TDRA000000006747	BALTIMORE, WAG : W. 190	Gruel, Léon
TDRA000000003617	BRUSSEL, KB : 837-45	Dubois d'Enghien, George (Brussel)
TDRA000000008597	BALTIMORE, WAG : W. 169	Gruel, Léon
TDRA000000015059	WALTON (Covington, Virginia, USA) : A 1806	Bedford, F.
TDRA000000006804	NEW YORK, PML : 493	Trautz-Bauzonnet
TDRA000000007515	LONDEN, GL : 1448	Zaehnsdorf
TDRA000000014970	Olim QUARITCH (Londen) : Cat. 801 nr. 222	Ludovicus Bloc
TDRA000000008021	LINCOLN, CCL : 301	Clarke, J.
TDRA000000002240	AMSTERDAM, UB : I G 32	Adrianus van Hoolwick
TDRA000000003604	'S-GRAVENHAGE, KB : 76 F 31	Haarlem
TDRA000000003758	BRUSSEL, KB : 4665	Anthonius de Gavere
TDRA000000008631	ROUEN, BM : 3024	Jacob vanden Berghe
TDRA000000016208	WIDENER (Philadelphia) : 3	Anthonius de Gavere
TDRA000000000456	UTRECHT, MCC : BMH 44	Noord-Holland
TDRA000000011995	SAN MARINO, HL : HM 1134	Lortic
TDRA000000016022	SCHIFF (New York) : 3	Derôme
