id	signatuur	kopiist
TDRA000000007430	PURMEREND, WA : MONNICKENDAM 154	Jan Wouterszn van der Gou
TDRA000000005019	KEULEN, HA : W* 25	Katrijn van Rade
TDRA000000015578	LONDEN, BL : Egerton 3044	Johannes de Ecclesia
TDRA000000015236	Olim VAN DE VELDE (Leuven) : 15087	Gheraert Styroy van Diest
TDRA000000007632	AMSTERDAM, UB : I E 77	heer Bethleem
TDRA000000005755	LEUVEN, TF : Mechelen 16	een onbekende vrouw
TDRA000000003697	BRUSSEL, KB : 3059	Lijsbeth van Elderen
TDRA000000010199	LAMPETER, SDUC : 6	Johannes
TDRA000000012995	PARIJS, BA : 858	Johannes Wilhelmi de Leydis
TDRA000000004926	KEULEN, HA : GB Oct. 73	Henrick Harinck van Amstelredam
TDRA000000001651	DEVENTER, SAB : Hs. I, 72 (101 D 14 KL)	Adriaen Mant
TDRA000000009231	PARIJS, BA : 424	zuster Ghertruit Bay
TDRA000000001447	ANTWERPEN, RG : Neerl. 18	een onbekende vrouw
TDRA000000002614	'S-GRAVENHAGE, KB : 135 C 11	een onbekende man
TDRA000000005634	MAASTRICHT, RHCL : 22.001 hss. GAM 462	Kopiiste van MAASTRICHT, GA : 462
TDRA000000005634	MAASTRICHT, RHCL : 22.001 hss. GAM 462	Kopiiste van de kalender in MAASTRICHT, GA : 462
TDRA000000004700	BALTIMORE, WAG : W. 185	Johannes de Malborch
TDRA000000000566	ROTTERDAM, GB : 96 E 12	broeder Jacob
TDRA000000008847	LONDEN, VAM : 600-1889	Kopiist van LEIDEN, UB : LTK 299
TDRA000000005581	HAMBURG, SUB : Theol. 2052	Anna Wyppermann
TDRA000000005581	HAMBURG, SUB : Theol. 2052	Christina Luttyckhus
TDRA000000004462	LONDEN, BL : Sloane 1174	Nicolas Knibbe
TDRA000000015221	BURLINGTON, UV : 8	Geert van Hoochstraten
TDRA000000003457	'S-GRAVENHAGE, KB : 73 G 29	Kopiist van 'S-GRAVENHAGE, KB : 73 G 25
TDRA000000007802	STRATTON, DA : 26530	Johannes Heineman
TDRA000000002017	LEIDEN, UB : BPL 2895	De kopiiste schreef ook BONN, UB : S 293; NIJMEGEN, UB : 188; LEIDEN, UB : LTK 281 (?).
TDRA000000002017	LEIDEN, UB : BPL 2895	Kopiist van LEIDEN, UB : BPL 2895
